Nombre de muestra,BioSample,Host,Accession
Metagenome or environmental sample from honey metagenome,SAMN42493184,,SAMN42493184
Metagenome or environmental sample from honey metagenome,SAMN42493185,,SAMN42493185
Metagenome or environmental sample from honey metagenome,SAMN42493186,,SAMN42493186
Metagenome or environmental sample from honey metagenome,SAMN42493187,,SAMN42493187
Metagenome or environmental sample from honey metagenome,SAMN42493188,,SAMN42493188
Metagenome or environmental sample from honey metagenome,SAMN42493189,,SAMN42493189
Metagenome or environmental sample from honey metagenome,SAMN42493190,,SAMN42493190
Metagenome or environmental sample from honey metagenome,SAMN42493191,,SAMN42493191
Metagenome or environmental sample from honey metagenome,SAMN42493192,,SAMN42493192
Metagenome or environmental sample from honey metagenome,SAMN42493193,,SAMN42493193
Metagenome or environmental sample from honey metagenome,SAMN42493194,,SAMN42493194
Metagenome or environmental sample from honey metagenome,SAMN42493195,,SAMN42493195
Metagenome or environmental sample from honey metagenome,SAMN42493196,,SAMN42493196
Metagenome or environmental sample from honey metagenome,SAMN42493197,,SAMN42493197
Metagenome or environmental sample from honey metagenome,SAMN42493198,,SAMN42493198
Metagenome or environmental sample from honey metagenome,SAMN42493199,,SAMN42493199
Metagenome or environmental sample from honey metagenome,SAMN42493200,,SAMN42493200
Metagenome or environmental sample from honey metagenome,SAMN42493201,,SAMN42493201
Metagenome or environmental sample from honey metagenome,SAMN42493202,,SAMN42493202
Metagenome or environmental sample from honey metagenome,SAMN42493203,,SAMN42493203
Metagenome or environmental sample from honey metagenome,SAMN42493204,,SAMN42493204
Metagenome or environmental sample from honey metagenome,SAMN42493205,,SAMN42493205
Metagenome or environmental sample from honey metagenome,SAMN42493206,,SAMN42493206
Metagenome or environmental sample from honey metagenome,SAMN42493207,,SAMN42493207
Metagenome or environmental sample from honey metagenome,SAMN42493208,,SAMN42493208
Metagenome or environmental sample from honey metagenome,SAMN42493209,,SAMN42493209
Metagenome or environmental sample from honey metagenome,SAMN42493210,,SAMN42493210
Metagenome or environmental sample from honey metagenome,SAMN42493211,,SAMN42493211
Metagenome or environmental sample from honey metagenome,SAMN42493212,,SAMN42493212
Metagenome or environmental sample from honey metagenome,SAMN42493213,,SAMN42493213
Metagenome or environmental sample from honey metagenome,SAMN42493214,,SAMN42493214
Metagenome or environmental sample from honey metagenome,SAMN42493215,,SAMN42493215
Metagenome or environmental sample from honey metagenome,SAMN42493216,,SAMN42493216
Metagenome or environmental sample from honey metagenome,SAMN42493217,,SAMN42493217
Metagenome or environmental sample from honey metagenome,SAMN42493218,,SAMN42493218
Metagenome or environmental sample from honey metagenome,SAMN42493219,,SAMN42493219
Metagenome or environmental sample from honey metagenome,SAMN42493220,,SAMN42493220
Metagenome or environmental sample from honey metagenome,SAMN42493221,,SAMN42493221
Metagenome or environmental sample from honey metagenome,SAMN42493222,,SAMN42493222
Metagenome or environmental sample from honey metagenome,SAMN42493223,,SAMN42493223
Metagenome or environmental sample from honey metagenome,SAMN42493224,,SAMN42493224
Metagenome or environmental sample from honey metagenome,SAMN42493225,,SAMN42493225
Metagenome or environmental sample from honey metagenome,SAMN42493226,,SAMN42493226
Metagenome or environmental sample from honey metagenome,SAMN42493227,,SAMN42493227
Metagenome or environmental sample from honey metagenome,SAMN42493228,,SAMN42493228
Metagenome or environmental sample from honey metagenome,SAMN42493229,,SAMN42493229
Metagenome or environmental sample from honey metagenome,SAMN42493230,,SAMN42493230
Metagenome or environmental sample from honey metagenome,SAMN42493231,,SAMN42493231
Metagenome or environmental sample from honey metagenome,SAMN42493232,,SAMN42493232
Metagenome or environmental sample from honey metagenome,SAMN42493233,,SAMN42493233
Metagenome or environmental sample from honey metagenome,SAMN42493234,,SAMN42493234
Metagenome or environmental sample from honey metagenome,SAMN42493235,,SAMN42493235
Metagenome or environmental sample from honey metagenome,SAMN42493236,,SAMN42493236
Metagenome or environmental sample from honey metagenome,SAMN42493237,,SAMN42493237
Metagenome or environmental sample from honey metagenome,SAMN42493238,,SAMN42493238
Metagenome or environmental sample from honey metagenome,SAMN42493239,,SAMN42493239
Metagenome or environmental sample from honey metagenome,SAMN42493240,,SAMN42493240
Metagenome or environmental sample from honey metagenome,SAMN42493241,,SAMN42493241
Metagenome or environmental sample from honey metagenome,SAMN42493242,,SAMN42493242
Metagenome or environmental sample from honey metagenome,SAMN42493243,,SAMN42493243
Metagenome or environmental sample from honey metagenome,SAMN42493244,,SAMN42493244
Metagenome or environmental sample from honey metagenome,SAMN42493245,,SAMN42493245
Metagenome or environmental sample from honey metagenome,SAMN42493246,,SAMN42493246
Metagenome or environmental sample from honey metagenome,SAMN42493247,,SAMN42493247
Metagenome or environmental sample from honey metagenome,SAMN42493248,,SAMN42493248
Metagenome or environmental sample from honey metagenome,SAMN42493249,,SAMN42493249
Metagenome or environmental sample from honey metagenome,SAMN42493250,,SAMN42493250
Metagenome or environmental sample from honey metagenome,SAMN42493251,,SAMN42493251
Metagenome or environmental sample from honey metagenome,SAMN42493252,,SAMN42493252
Metagenome or environmental sample from honey metagenome,SAMN42493253,,SAMN42493253
Metagenome or environmental sample from honey metagenome,SAMN42493254,,SAMN42493254
Metagenome or environmental sample from honey metagenome,SAMN42493255,,SAMN42493255
Metagenome or environmental sample from honey metagenome,SAMN42493256,,SAMN42493256
Metagenome or environmental sample from honey metagenome,SAMN42493257,,SAMN42493257
Metagenome or environmental sample from honey metagenome,SAMN42493258,,SAMN42493258
Metagenome or environmental sample from honey metagenome,SAMN42493259,,SAMN42493259
Metagenome or environmental sample from honey metagenome,SAMN42493260,,SAMN42493260
Metagenome or environmental sample from honey metagenome,SAMN42493261,,SAMN42493261
Metagenome or environmental sample from honey metagenome,SAMN42493262,,SAMN42493262
Metagenome or environmental sample from honey metagenome,SAMN42493263,,SAMN42493263
Metagenome or environmental sample from honey metagenome,SAMN42493264,,SAMN42493264
Metagenome or environmental sample from honey metagenome,SAMN42493265,,SAMN42493265
Metagenome or environmental sample from honey metagenome,SAMN42493266,,SAMN42493266
Metagenome or environmental sample from honey metagenome,SAMN42493267,,SAMN42493267
Metagenome or environmental sample from honey metagenome,SAMN42493268,,SAMN42493268
Metagenome or environmental sample from honey metagenome,SAMN42493269,,SAMN42493269
Metagenome or environmental sample from honey metagenome,SAMN42493270,,SAMN42493270
Metagenome or environmental sample from honey metagenome,SAMN42493271,,SAMN42493271
Metagenome or environmental sample from honey metagenome,SAMN42493272,,SAMN42493272
Metagenome or environmental sample from honey metagenome,SAMN42493273,,SAMN42493273
Metagenome or environmental sample from honey metagenome,SAMN42493274,,SAMN42493274
Metagenome or environmental sample from honey metagenome,SAMN42493275,,SAMN42493275
Metagenome or environmental sample from honey metagenome,SAMN42493276,,SAMN42493276
Metagenome or environmental sample from honey metagenome,SAMN42493277,,SAMN42493277
Metagenome or environmental sample from honey metagenome,SAMN42493278,,SAMN42493278
Metagenome or environmental sample from honey metagenome,SAMN42493279,,SAMN42493279
Metagenome or environmental sample from honey metagenome,SAMN42493280,,SAMN42493280
Metagenome or environmental sample from honey metagenome,SAMN42493281,,SAMN42493281
Metagenome or environmental sample from honey metagenome,SAMN42493282,,SAMN42493282
Metagenome or environmental sample from honey metagenome,SAMN42493283,,SAMN42493283
Metagenome or environmental sample from honey metagenome,SAMN42493284,,SAMN42493284
Metagenome or environmental sample from honey metagenome,SAMN42493285,,SAMN42493285
Metagenome or environmental sample from honey metagenome,SAMN42493286,,SAMN42493286
Metagenome or environmental sample from honey metagenome,SAMN42493287,,SAMN42493287
Metagenome or environmental sample from honey metagenome,SAMN42493288,,SAMN42493288
Metagenome or environmental sample from honey metagenome,SAMN42493289,,SAMN42493289
Metagenome or environmental sample from honey metagenome,SAMN42493290,,SAMN42493290
Metagenome or environmental sample from honey metagenome,SAMN42493291,,SAMN42493291
Metagenome or environmental sample from honey metagenome,SAMN42493292,,SAMN42493292
Metagenome or environmental sample from honey metagenome,SAMN42493293,,SAMN42493293
Metagenome or environmental sample from honey metagenome,SAMN42493294,,SAMN42493294
Metagenome or environmental sample from honey metagenome,SAMN42493295,,SAMN42493295
Metagenome or environmental sample from honey metagenome,SAMN42493296,,SAMN42493296
Metagenome or environmental sample from honey metagenome,SAMN42493297,,SAMN42493297
Metagenome or environmental sample from honey metagenome,SAMN42493298,,SAMN42493298
Metagenome or environmental sample from honey metagenome,SAMN42493299,,SAMN42493299
Metagenome or environmental sample from honey metagenome,SAMN42493300,,SAMN42493300
Metagenome or environmental sample from honey metagenome,SAMN42493301,,SAMN42493301
Metagenome or environmental sample from honey metagenome,SAMN42493302,,SAMN42493302
Metagenome or environmental sample from honey metagenome,SAMN42493303,,SAMN42493303
Metagenome or environmental sample from honey metagenome,SAMN42493304,,SAMN42493304
Metagenome or environmental sample from honey metagenome,SAMN42493305,,SAMN42493305
Metagenome or environmental sample from honey metagenome,SAMN42493306,,SAMN42493306
Metagenome or environmental sample from honey metagenome,SAMN42493307,,SAMN42493307
Metagenome or environmental sample from honey metagenome,SAMN42493308,,SAMN42493308
Metagenome or environmental sample from honey metagenome,SAMN42493309,,SAMN42493309
Metagenome or environmental sample from honey metagenome,SAMN42493310,,SAMN42493310
Metagenome or environmental sample from honey metagenome,SAMN42493311,,SAMN42493311
Metagenome or environmental sample from honey metagenome,SAMN42493312,,SAMN42493312
Metagenome or environmental sample from honey metagenome,SAMN42493313,,SAMN42493313
Metagenome or environmental sample from honey metagenome,SAMN42493314,,SAMN42493314
Metagenome or environmental sample from honey metagenome,SAMN42493315,,SAMN42493315
Metagenome or environmental sample from honey metagenome,SAMN42493316,,SAMN42493316
Metagenome or environmental sample from honey metagenome,SAMN42493317,,SAMN42493317
Metagenome or environmental sample from honey metagenome,SAMN42493318,,SAMN42493318
Metagenome or environmental sample from honey metagenome,SAMN42493319,,SAMN42493319
Metagenome or environmental sample from honey metagenome,SAMN42493320,,SAMN42493320
Metagenome or environmental sample from honey metagenome,SAMN42493321,,SAMN42493321
Metagenome or environmental sample from honey metagenome,SAMN42493322,,SAMN42493322
Metagenome or environmental sample from honey metagenome,SAMN42493323,,SAMN42493323
Metagenome or environmental sample from honey metagenome,SAMN42493324,,SAMN42493324
Metagenome or environmental sample from honey metagenome,SAMN42493325,,SAMN42493325
Metagenome or environmental sample from honey metagenome,SAMN42493326,,SAMN42493326
Metagenome or environmental sample from honey metagenome,SAMN42493327,,SAMN42493327
Metagenome or environmental sample from honey metagenome,SAMN42493328,,SAMN42493328
Metagenome or environmental sample from honey metagenome,SAMN42493329,,SAMN42493329
Metagenome or environmental sample from honey metagenome,SAMN42493330,,SAMN42493330
Metagenome or environmental sample from honey metagenome,SAMN42493331,,SAMN42493331
Metagenome or environmental sample from honey metagenome,SAMN42493332,,SAMN42493332
Metagenome or environmental sample from honey metagenome,SAMN42493333,,SAMN42493333
Metagenome or environmental sample from honey metagenome,SAMN42493334,,SAMN42493334
Metagenome or environmental sample from honey metagenome,SAMN42493335,,SAMN42493335
Metagenome or environmental sample from honey metagenome,SAMN42493336,,SAMN42493336
Metagenome or environmental sample from honey metagenome,SAMN42493337,,SAMN42493337
Metagenome or environmental sample from honey metagenome,SAMN42493338,,SAMN42493338
Metagenome or environmental sample from honey metagenome,SAMN42493339,,SAMN42493339
Metagenome or environmental sample from honey metagenome,SAMN42493340,,SAMN42493340
Metagenome or environmental sample from honey metagenome,SAMN42493341,,SAMN42493341
Metagenome or environmental sample from honey metagenome,SAMN42493342,,SAMN42493342
Metagenome or environmental sample from honey metagenome,SAMN42493343,,SAMN42493343
Metagenome or environmental sample from honey metagenome,SAMN42493344,,SAMN42493344
Metagenome or environmental sample from honey metagenome,SAMN42493345,,SAMN42493345
Metagenome or environmental sample from honey metagenome,SAMN42493346,,SAMN42493346
Metagenome or environmental sample from honey metagenome,SAMN42493347,,SAMN42493347
Metagenome or environmental sample from honey metagenome,SAMN42493348,,SAMN42493348
Metagenome or environmental sample from honey metagenome,SAMN42493349,,SAMN42493349
Metagenome or environmental sample from honey metagenome,SAMN42493350,,SAMN42493350
Metagenome or environmental sample from honey metagenome,SAMN42493351,,SAMN42493351
Metagenome or environmental sample from honey metagenome,SAMN42493352,,SAMN42493352
Metagenome or environmental sample from honey metagenome,SAMN42493353,,SAMN42493353
Metagenome or environmental sample from honey metagenome,SAMN42493354,,SAMN42493354
Metagenome or environmental sample from honey metagenome,SAMN42493355,,SAMN42493355
Metagenome or environmental sample from honey metagenome,SAMN42493356,,SAMN42493356
Metagenome or environmental sample from honey metagenome,SAMN42493357,,SAMN42493357
Metagenome or environmental sample from honey metagenome,SAMN42493358,,SAMN42493358
Metagenome or environmental sample from honey metagenome,SAMN42493359,,SAMN42493359
Metagenome or environmental sample from honey metagenome,SAMN42493360,,SAMN42493360
Metagenome or environmental sample from honey metagenome,SAMN42493361,,SAMN42493361
Metagenome or environmental sample from honey metagenome,SAMN42493362,,SAMN42493362
Metagenome or environmental sample from honey metagenome,SAMN42493363,,SAMN42493363
Metagenome or environmental sample from honey metagenome,SAMN42493364,,SAMN42493364
Metagenome or environmental sample from honey metagenome,SAMN42493365,,SAMN42493365
Metagenome or environmental sample from honey metagenome,SAMN42493366,,SAMN42493366
Metagenome or environmental sample from honey metagenome,SAMN42493367,,SAMN42493367
Metagenome or environmental sample from honey metagenome,SAMN42493368,,SAMN42493368
Metagenome or environmental sample from honey metagenome,SAMN42493369,,SAMN42493369
Metagenome or environmental sample from honey metagenome,SAMN42493370,,SAMN42493370
Metagenome or environmental sample from honey metagenome,SAMN42493371,,SAMN42493371
Metagenome or environmental sample from honey metagenome,SAMN42493372,,SAMN42493372
Metagenome or environmental sample from honey metagenome,SAMN42493373,,SAMN42493373
Metagenome or environmental sample from honey metagenome,SAMN42493374,,SAMN42493374
Metagenome or environmental sample from honey metagenome,SAMN42493375,,SAMN42493375
Metagenome or environmental sample from honey metagenome,SAMN42493376,,SAMN42493376
Metagenome or environmental sample from honey metagenome,SAMN42493377,,SAMN42493377
Metagenome or environmental sample from honey metagenome,SAMN42493378,,SAMN42493378
Metagenome or environmental sample from honey metagenome,SAMN42493379,,SAMN42493379
Metagenome or environmental sample from honey metagenome,SAMN42493380,,SAMN42493380
Metagenome or environmental sample from honey metagenome,SAMN42493381,,SAMN42493381
Metagenome or environmental sample from honey metagenome,SAMN42493382,,SAMN42493382
Metagenome or environmental sample from honey metagenome,SAMN42493383,,SAMN42493383
Metagenome or environmental sample from honey metagenome,SAMN42493384,,SAMN42493384
Metagenome or environmental sample from honey metagenome,SAMN42493385,,SAMN42493385
Metagenome or environmental sample from honey metagenome,SAMN42493386,,SAMN42493386
Metagenome or environmental sample from honey metagenome,SAMN42493387,,SAMN42493387
Metagenome or environmental sample from honey metagenome,SAMN42493388,,SAMN42493388
Metagenome or environmental sample from honey metagenome,SAMN42493389,,SAMN42493389
Metagenome or environmental sample from honey metagenome,SAMN42493390,,SAMN42493390
Metagenome or environmental sample from honey metagenome,SAMN42493391,,SAMN42493391
Metagenome or environmental sample from honey metagenome,SAMN42493392,,SAMN42493392
Metagenome or environmental sample from honey metagenome,SAMN42493393,,SAMN42493393
Metagenome or environmental sample from honey metagenome,SAMN42493394,,SAMN42493394
Metagenome or environmental sample from honey metagenome,SAMN47760422,Avicennia marina,SAMN47760422
Metagenome or environmental sample from honey metagenome,SAMN47760423,Aegiceras corniculatum (L.) Blanco,SAMN47760423
Metagenome or environmental sample from honey metagenome,SAMN47760424,Aegialitis rotundifolia,SAMN47760424
